Series Name;Series Code;Country Name;Country Code;1990 [YR1990];2000 [YR2000];2012 [YR2012];2013 [YR2013];2014 [YR2014];2015 [YR2015];2016 [YR2016];2017 [YR2017];2018 [YR2018];2019 [YR2019];2020 [YR2020];2021 [YR2021]
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Países Bajos;NLD;95.34361699;93.45541109;90.26166753;89.78837573;88.89793913;92.49878262;89.78833521;89.24467517;89.45628286;90.19525124;89.59136103;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Nueva Caledonia;NCL;118.0999998;114.8049613;128.2363183;127.4261488;121.7854358;123.9084635;119.4986434;116.9174123;..;..;..;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Nueva Zelandia;NZL;99.13696849;97.02684435;99.30433263;98.38912682;99.1989121;99.10393984;99.36961632;99.24055153;100.3084236;99.76883228;100.7682056;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Nicaragua;NIC;..;120.3684686;120.2387961;120.5553714;116.6817443;118.0269595;116.0497658;113.7028758;109.430689;104.4852228;104.8284804;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Níger;NER;105.479482;106.033395;112.8848192;112.3370864;113.8498726;116.1906904;112.1214314;112.970515;114.463579;114.870896;115.601174;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Nigeria;NGA;88.97519438;76.94906825;81.78220956;94.94904679;94.01494161;100.0000326;102.2862995;100.0044748;102.0140551;105.5820242;107.7407299;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Macedonia del Norte;MKD;99.65620301;114.2672715;121.4663287;118.0646794;117.2122184;116.2222652;114.8578922;113.8458452;112.464933;113.7601183;112.785952;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Mariana;MNP;..;..;..;..;..;..;..;..;..;..;..;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Noruega;NOR;93.74936655;83.18683353;86.85252929;89.15227284;90.67057139;94.25553361;98.02046255;96.49843326;94.26624272;98.51819175;100.8399897;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Omán;OMN;80.36902669;72.21737069;76.62837301;80.48258551;79.39864433;97.07344958;100.2246685;97.52230664;88.03717599;87.49180434;92.55854019;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Pakistán;PAK;105.4571391;101.1243125;108.0121746;106.7792927;106.4160771;106.4458491;107.0147776;109.3381963;111.099389;110.1696618;107.4154366;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Palau;PLW;..;..;..;..;..;..;..;..;..;..;..;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Panamá;PAN;104.7342301;111.4716654;107.6761959;107.3105404;108.375627;104.566478;103.4625874;103.8205123;104.4085781;102.5663534;94.86140633;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Papua Nueva Guinea;PNG;108.3187049;83.06511946;..;..;..;..;..;..;..;..;..;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Paraguay;PRY;86.86127977;91.9828777;98.77391906;95.94254022;98.15490035;97.4085141;93.4574274;94.60064463;98.63812535;98.96227055;95.87376348;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Perú;PER;98.07529398;102.0012847;97.72066652;100.1705436;101.6391803;102.5881181;100.1882137;98.07380641;98.2469235;98.99734549;98.76774029;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Filipinas;PHL;100.8325817;98.46493016;102.9078578;103.4699416;102.7591637;104.7254776;108.4300591;109.063788;111.7361876;112.0760022;107.7986523;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Polonia;POL;..;106.491931;100.7623309;98.55901778;99.03117264;97.24386934;96.23120526;96.23245143;96.93734077;95.24363128;93.20681699;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Portugal;PRT;106.6576575;111.0437568;100.4948092;98.90142467;99.85037187;99.26066349;98.85258235;98.99060773;99.53732288;99.54787372;102.1122346;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Puerto Rico;PRI;96.2197031;89.99127902;80.92153975;80.84919473;80.13203079;77.02947023;74.76621361;76.92357812;85.92578648;86.14377789;82.34564657;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Qatar;QAT;..;55.04594252;52.80146383;56.94753806;63.03813848;79.58464864;94.11991713;85.71574266;79.95472263;85.6686557;91.78133836;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Rumania;ROU;109.4533162;105.3435568;105.28698;100.9021245;100.421216;100.8229041;101.0438648;102.4693212;103.4132633;104.1213508;104.4639528;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Federación de Rusia;RUS;99.78469419;79.97239067;93.96784889;95.11260425;94.18119701;92.59394325;94.80915389;94.69476238;89.99442915;92.29511349;94.16143988;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Rwanda;RWA;108.4549473;116.7411767;116.5619756;115.7171723;116.1744328;118.7487351;118.6515636;112.6185141;113.5633423;114.3138401;116.2830934;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Samoa;WSM;..;..;..;..;..;..;..;..;..;..;..;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;San Marino;SMR;..;..;..;..;..;72.45865151;74.00975062;76.2929611;76.2929611;79.27029975;..;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Santo Tomé y Príncipe;STP;..;..;..;..;..;..;..;..;..;..;..;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Arabia Saudita;SAU;91.03850262;81.35590154;74.97010719;78.87313387;86.88988797;104.4777689;99.57364504;94.4788628;86.60849247;91.56092384;97.91712059;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Senegal;SEN;111.4326917;113.1517905;117.0265552;115.9272817;114.8859355;112.7559487;110.986453;113.8451136;115.8916565;114.2102662;114.8936017;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Serbia;SRB;..;104.9255962;113.7811055;108.2171645;108.0762645;107.0411834;104.8257341;106.5845484;108.6256386;109.9326387;108.2841472;..
