Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Pequeños Estados,SST,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Asia meridional,SAS,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Asia meridional (BIRF y la AIF),TSA,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,África al sur del Sahara,SSF,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,África al sur del Sahara (excluido altos ingresos),SSA,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,África al sur del Sahara (BIRF y la AIF),TSS,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Ingreso mediano alto,UMC,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Mundo,WLD,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Afganistán,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Albania,ALB,112.22896916091084,123.2234980516721,117.14024644154348,119.10736393311967,117.91391559551496,117.62444372090495,117.45420274244998,116.15900286654907,114.30439027549426,114.83053550539124,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Argelia,DZA,101.49334463137333,78.718900918003428,91.618335013613546,97.204615784110914,101.51995188465133,113.35151154039514,114.18069117626489,110.05691195081037,106.63132570908293,106.06000919562297,111.68746396283684,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Samoa Americana,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Angola,AGO,..,73.175447084581975,79.919835796342753,85.317762001990843,89.942865008654437,103.37932179901665,97.121186157428639,94.248621344855081,88.2219254408589,85.600927333702856,90.251312772425933,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Antigua y Barbuda,ATG,..,104.29365363929723,114.19629243238904,115.80890996924677,114.19542243085931,106.78711413189548,106.66059688871243,107.87206133910594,105.42099606784979,106.0201960345365,137.08426492529244,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Argentina,ARG,94.2717835862851,100.64969054771444,98.050823447661671,100.09958222522657,99.595836468660153,101.07492198807162,101.03969751209331,102.64903441833117,101.88916445925508,96.994041605043051,93.070815610154568,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Armenia,ARM,114.07274895646988,134.88708797103723,121.47074606690956,120.87606078990206,118.91607971401721,111.75797478690559,107.77332514881959,110.7702852297441,113.68731896399741,113.41255140470091,109.96364069668554,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Aruba,ABW,..,96.288035115760337,117.1919770773639,108.79465705588804,106.33107615142026,100.12784337592014,98.598899638692416,98.7069087080691,100.82700816220141,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Australia,AUS,101.3878967493802,102.15785480911923,100.16802195486878,101.30345587957726,100.27900232272562,101.48705617952609,102.27797536893513,99.48900537368543,99.6426916469609,97.505533781242477,96.071819093265262,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Austria,AUT,100.54486521631583,99.013396035550983,97.2976124753117,97.3021967199551,96.730839418276787,96.250048254385092,96.169282590054266,96.836817509073143,96.967474387619134,96.426808168494489,97.225576172301345,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Azerbaiyán,AZE,96.72578444747613,100.23526419533286,72.313709157400766,77.844178611941842,83.833524530578288,97.011952923869075,97.221854458073793,93.3067283878654,84.736552964091288,88.937948280872618,100.77230844845249,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Bahamas,BHS,105.09949463044852,96.730378494565073,107.99589571381931,106.03072056105046,107.52407362535786,99.724151851042,101.08150025849274,107.21538548670276,104.26007571390737,101.26857281759898,103.39843552863992,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Bahrein,BHR,79.049295774647888,77.4478012706704,81.593687455348416,82.263274386914745,83.466254785411238,88.716955145335689,91.2189004442941,91.5273793797336,91.91084438221813,88.265901164010828,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Bangladesh,BGD,100.55238605571175,103.7897844124134,107.03857237651523,106.35352637994218,106.48793338624299,106.72821910878483,104.67481606605111,105.18120318135016,108.40012614201784,106.54686879666355,106.69431354880481,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Barbados,BRB,98.75216209537929,106.0696192188266,108.65284164859001,110.35275497113534,109.72946555945917,107.25517603393426,105.5781563146998,104.95095419847328,104.65201022313968,105.37535419466309,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Belarús,BLR,97.644341801385679,101.7877991635464,96.712591124412384,103.48419571828053,101.4224874462129,96.8338048984866,96.640512275010792,98.139164543699081,97.3716416897687,99.956654724449479,94.642395548481019,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Bélgica,BEL,98.758868037627039,97.135344750920922,99.937049216326187,99.202148238647936,99.181197771829659,98.581982205963314,98.805795036473,98.961015849676244,100.24146282824533,99.344697295281691,98.59387178045445,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Belice,BLZ,78.808597304415258,118.70460919599009,100.05271818479613,104.51569196174601,104.11765101369632,106.85669051222111,110.63642639133053,103.0952410393036,101.58796734792375,98.519020628966445,108.11110632242699,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Benin,BEN,107.3575761238337,106.13752654678581,102.94326995929006,104.05906377601897,102.40658949316949,107.31541076286972,103.77335219543113,107.06540739508104,107.24673325225673,104.42027792832032,105.08829252156787,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Bermudas,BMU,..,..,73.881092874653433,73.04372450800804,73.926720785882367,73.050147260344474,73.752444053263872,74.57565585168733,73.879927118490869,74.584696944046684,72.335481608137144,..
