...1,1990,2000,2012,2013,2014,2015,2016,2017,2018,2019,...12,2020,2021
África al sur del Sahara (BIRF y la AIF),24.0,29.4,31.9,26.8,26.1,21.0,20.7,22.4,24.2,23.0,,20.0,..
Ingreso mediano alto,18.1,25.8,27.3,26.3,25.7,24.4,23.1,23.5,24.3,23.5,,22.7,..
Mundo,18.9,23.6,30.4,30.4,30.0,28.3,27.4,28.3,29.2,28.3,,26.5,..
Afganistán,..,..,..,..,..,..,..,..,..,..,,..,..
Albania,15.4,20.1,28.9,28.9,28.2,27.3,29.0,31.6,31.6,31.3,,23.1,..
Argelia,23.4,42.1,36.9,33.2,30.5,23.2,20.9,22.6,25.9,22.7,,18.0,..
Samoa Americana,..,..,75.5,71.8,66.7,63.6,63.9,59.2,68.2,61.6,,60.1,..
Andorra,..,..,..,..,..,..,..,..,..,..,,..,..
Angola,..,89.7,55.9,50.7,44.7,29.8,28.1,29.0,40.8,39.3,,37.8,..
Antigua y Barbuda,..,98.6,79.0,80.6,82.2,76.0,72.6,67.7,64.5,70.9,,43.7,..
Argentina,10.4,11.0,16.2,14.6,14.4,10.7,12.5,11.3,14.4,17.7,,16.6,..
Armenia,35.0,22.2,27.6,28.4,28.6,29.7,33.7,38.2,39.4,41.4,,29.8,..
Aruba,..,74.4,65.2,76.5,78.3,72.9,71.8,72.5,73.8,..,,..,..
Australia,15.1,19.4,21.5,20.0,21.1,20.1,19.3,21.2,21.9,24.2,,24.0,..
Austria,35.7,43.3,54.0,53.4,53.4,53.1,52.4,54.1,55.4,55.4,,51.4,..
Azerbaiyán,43.9,40.2,53.0,48.4,43.3,37.8,46.4,48.5,54.1,49.1,,35.7,..
Bahamas,54.2,38.0,38.1,40.0,37.8,36.9,33.5,32.3,36.0,35.0,,24.3,..
Bahrein,115.6,79.2,102.1,104.8,96.1,83.1,74.2,75.8,79.3,76.5,,..,..
Bangladesh,5.9,12.3,20.2,19.5,19.0,17.3,16.6,15.0,14.8,15.3,,12.0,..
Barbados,43.1,43.2,42.6,42.0,40.3,41.4,43.1,42.2,41.3,42.0,,..,..
Belarús,46.0,69.2,78.8,58.3,54.9,58.0,62.5,66.8,70.5,65.1,,61.9,..
Bélgica,61.6,72.5,80.4,79.3,79.8,77.8,79.4,83.2,83.0,82.2,,80.0,..
Belice,49.0,53.0,64.5,65.4,62.1,58.9,52.2,54.3,56.4,51.0,,36.1,..
Benin,19.2,20.6,23.9,27.6,31.4,24.7,27.6,27.2,27.3,29.6,,19.9,..
Bermudas,..,..,50.5,51.6,51.2,50.0,49.3,48.5,51.3,50.2,,49.9,..
Bhután,28.0,30.4,39.6,41.4,37.5,34.4,29.6,30.1,30.8,33.9,,29.8,..
Bolivia,22.8,18.3,47.2,44.1,43.3,30.9,24.5,24.9,26.0,25.0,,20.4,..
Bosnia y Herzegovina,..,21.9,32.4,33.7,34.0,35.5,36.3,40.9,42.5,40.5,,34.5,..
Botswana,55.1,51.8,49.3,61.5,60.6,52.9,54.6,43.0,44.5,37.4,,31.1,..
Brasil,8.2,10.2,11.9,11.7,11.0,12.9,12.5,12.5,14.6,14.1,,16.9,..
Islas Vírgenes Británicas,..,..,..,..,..,..,..,..,..,..,,..,..
Brunei Darussalam,61.8,67.4,70.2,68.0,68.2,52.2,49.6,49.6,51.9,57.9,,57.4,..
Bulgaria,33.1,36.2,60.4,64.6,64.6,63.8,63.9,67.0,65.7,63.9,,55.3,..
Burkina Faso,11.0,8.8,26.6,27.1,26.9,26.1,25.9,26.5,28.1,27.6,,..,..
Burundi,7.9,6.3,9.7,9.1,7.6,5.7,6.7,7.4,9.4,9.1,,5.0,..
Cabo Verde,17.1,27.0,40.4,40.5,40.4,44.9,44.2,45.9,49.0,50.6,,24.9,..
Camboya,..,49.8,57.9,62.4,62.6,61.7,61.3,60.7,61.6,61.1,,61.2,..
Camerún,20.2,24.9,23.9,23.6,23.6,21.0,18.9,18.4,18.7,19.9,,15.0,..
Canadá,25.2,44.2,30.4,30.3,31.7,31.8,31.5,31.5,32.3,31.9,,29.4,..
Islas Caimán,..,..,..,..,..,..,..,74.0,71.7,69.5,,60.3,..
República Centroafricana,17.1,20.4,11.6,15.0,16.7,17.1,14.8,17.3,18.9,16.4,,16.4,..
Chad,13.5,16.9,38.5,33.6,34.2,30.0,26.3,33.9,36.2,36.7,,26.4,..
Islas del Canal,..,..,..,..,..,..,..,..,..,..,,..,..
Chile,32.5,30.5,34.1,32.2,33.1,29.4,28.1,28.4,28.5,28.0,,31.5,..
China,13.6,20.9,25.5,24.6,23.5,21.4,19.6,19.7,19.1,18.4,,18.5,..
Colombia,18.9,15.9,18.8,18.1,16.6,15.7,14.7,15.1,15.9,15.9,,13.5,..
Comoras,8.8,8.8,8.9,9.0,9.7,10.1,10.7,11.9,12.9,12.8,,5.6,..
"Congo, República Democrática del",..,11.4,30.8,36.4,36.8,27.6,32.8,30.7,34.1,26.5,,28.6,..
"Congo, República del",51.8,80.3,58.1,52.9,53.2,42.7,45.0,58.1,71.0,73.8,,54.2,..
Costa Rica,34.2,42.9,31.7,30.6,31.4,30.0,31.3,32.8,33.7,34.0,,31.5,..
Côte d'Ivoire,31.7,27.8,35.0,29.2,28.2,27.4,24.6,24.9,22.6,23.8,,21.6,..
Croacia,..,35.0,39.1,39.9,42.8,45.8,47.0,49.3,49.5,50.7,,42.0,..
Cuba,30.2,14.1,25.5,24.1,22.1,17.1,15.0,14.6,14.5,12.2,,8.2,..
Curacao,..,..,75.7,69.0,72.2,62.5,57.4,..,..,..,,..,..
Chipre,51.5,70.0,55.3,61.4,66.0,70.1,70.5,73.9,75.1,75.6,,76.0,..
